sample	dominant_length	offset_from_5	offset_from_3	cds_frame0
fibroblast_egfp_rep1_riboseq	30	12	17	0.569
fibroblast_egfp_rep2_riboseq	30	12	17	0.553
fibroblast_g418_0.1_rep1_riboseq	30	12	17	0.629
fibroblast_g418_0.1_rep2_riboseq	30	12	17	0.573
fibroblast_g418_0.5_rep1_riboseq	30	12	17	0.574
fibroblast_g418_0.5_rep2_riboseq	30	12	17	0.558
fibroblast_suptrna_tyr_rep1_riboseq	25	12	12	0.526
fibroblast_suptrna_tyr_rep2_riboseq	31	13	17	0.542
fibroblast_untreated_rep1_riboseq	30	10	19	0.588
fibroblast_untreated_rep2_riboseq	30	9	20	0.632
