round	r2	held_out	dataset	config
1	0.616032126284361	532	CC90009	published_random_cv
2	0.568398148172689	532	CC90009	published_random_cv
3	0.43654086166530875	532	CC90009	published_random_cv
4	0.5129857337342479	532	CC90009	published_random_cv
5	0.4354045432066556	532	CC90009	published_random_cv
6	0.5949768505713153	532	CC90009	published_random_cv
7	0.6450947524592462	532	CC90009	published_random_cv
8	0.5209280831391573	532	CC90009	published_random_cv
9	0.5834116482479452	532	CC90009	published_random_cv
10	0.5994038088777615	532	CC90009	published_random_cv
1	0.6536981094329714	469	CC90009	grouped_by_gene
2	0.44938892125122404	479	CC90009	grouped_by_gene
3	0.6687625431371256	597	CC90009	grouped_by_gene
4	0.6228367890659167	767	CC90009	grouped_by_gene
5	0.52798522111869	484	CC90009	grouped_by_gene
6	0.4279020559401216	636	CC90009	grouped_by_gene
7	0.646821451851374	471	CC90009	grouped_by_gene
8	0.5009821751601293	444	CC90009	grouped_by_gene
9	0.49869661781414365	909	CC90009	grouped_by_gene
10	0.685679333603987	372	CC90009	grouped_by_gene
1	0.9111988882050054	522	Clitocine	published_random_cv
2	0.8741804200875277	522	Clitocine	published_random_cv
3	0.8753704597279742	522	Clitocine	published_random_cv
4	0.8941395304192272	522	Clitocine	published_random_cv
5	0.8831256896283348	522	Clitocine	published_random_cv
6	0.8630082015121934	522	Clitocine	published_random_cv
7	0.8895710422337599	522	Clitocine	published_random_cv
8	0.8943592502877237	522	Clitocine	published_random_cv
9	0.861144238657085	522	Clitocine	published_random_cv
10	0.8618427534260219	522	Clitocine	published_random_cv
1	0.8888425345234168	491	Clitocine	grouped_by_gene
2	0.8908218450703	460	Clitocine	grouped_by_gene
3	0.891326724176171	680	Clitocine	grouped_by_gene
4	0.9004977165450795	688	Clitocine	grouped_by_gene
5	0.8787626433518254	578	Clitocine	grouped_by_gene
6	0.9100034538166512	481	Clitocine	grouped_by_gene
7	0.8869369431562092	483	Clitocine	grouped_by_gene
8	0.8988440147124634	417	Clitocine	grouped_by_gene
9	0.9005482378361575	582	Clitocine	grouped_by_gene
10	0.8784447278525626	781	Clitocine	grouped_by_gene
1	0.8674477069508361	528	DAP	published_random_cv
2	0.8635341441470361	528	DAP	published_random_cv
3	0.872842464995788	528	DAP	published_random_cv
4	0.8771013318725324	528	DAP	published_random_cv
5	0.8608605665508222	528	DAP	published_random_cv
6	0.8925527990863422	528	DAP	published_random_cv
7	0.8642668396321334	528	DAP	published_random_cv
8	0.8748026866723181	528	DAP	published_random_cv
9	0.8889804531950094	528	DAP	published_random_cv
10	0.8953382171448894	528	DAP	published_random_cv
1	0.8610587750289813	393	DAP	grouped_by_gene
2	0.8409482841568231	361	DAP	grouped_by_gene
3	0.8793672799254019	561	DAP	grouped_by_gene
