drug	gain	permutations	null_mean	null_sd	null_max	p_familywise	resolution	shuffle
SJ6986	0.00356294643709393	199	0.002988399444644056	0.0006701920357040803	0.0051453521081635	0.21	0.005	context_matched
SRI	0.0013487810915978188	199	0.002988399444644056	0.0006701920357040803	0.0051453521081635	0.995	0.005	context_matched
CC90009	0.001079285523833899	199	0.002988399444644056	0.0006701920357040803	0.0051453521081635	1.0	0.005	context_matched
Clitocine	-0.0003706799396235045	199	0.002988399444644056	0.0006701920357040803	0.0051453521081635	1.0	0.005	context_matched
G418	-0.00032386705062130417	199	0.002988399444644056	0.0006701920357040803	0.0051453521081635	1.0	0.005	context_matched
DAP	-0.00042432424323712614	199	0.002988399444644056	0.0006701920357040803	0.0051453521081635	1.0	0.005	context_matched
SJ6986	0.00356294643709393	199	0.0007250606885134027	0.0008593860183562586	0.0062328605569916	0.02	0.005	global
SRI	0.0013487810915978188	199	0.0007250606885134027	0.0008593860183562586	0.0062328605569916	0.165	0.005	global
CC90009	0.001079285523833899	199	0.0007250606885134027	0.0008593860183562586	0.0062328605569916	0.24	0.005	global
Clitocine	-0.0003706799396235045	199	0.0007250606885134027	0.0008593860183562586	0.0062328605569916	1.0	0.005	global
G418	-0.00032386705062130417	199	0.0007250606885134027	0.0008593860183562586	0.0062328605569916	1.0	0.005	global
DAP	-0.00042432424323712614	199	0.0007250606885134027	0.0008593860183562586	0.0062328605569916	1.0	0.005	global
SJ6986	0.00356294643709393	199	0.00033195275945122326	0.0004034849215345297	0.0017053398630376	0.005	0.005	within_gene
SRI	0.0013487810915978188	199	0.00033195275945122326	0.0004034849215345297	0.0017053398630376	0.035	0.005	within_gene
CC90009	0.001079285523833899	199	0.00033195275945122326	0.0004034849215345297	0.0017053398630376	0.08	0.005	within_gene
Clitocine	-0.0003706799396235045	199	0.00033195275945122326	0.0004034849215345297	0.0017053398630376	1.0	0.005	within_gene
G418	-0.00032386705062130417	199	0.00033195275945122326	0.0004034849215345297	0.0017053398630376	1.0	0.005	within_gene
DAP	-0.00042432424323712614	199	0.00033195275945122326	0.0004034849215345297	0.0017053398630376	1.0	0.005	within_gene
