sample	reads_input	reads_unique	unique_rate	mapped_length_mean	multimapped_rate	over_multimapped_rate	unmapped_too_short_rate	mapped_rate
calu6_g418_rep1_riboseq	17437164	10344297	59.32	29.35	31.7	0.41	8.0	91.43
calu6_g418_rep1_rnaseq	16200849	8816672	54.42	197.08	13.22	0.07	32.22	67.71
calu6_g418_rep2_rnaseq	13711018	6900322	50.33	196.79	17.89	0.07	31.64	68.29
calu6_untreated_rep1_riboseq	10532577	5164432	49.03	29.02	26.05	0.53	21.92	75.61
calu6_untreated_rep1_rnaseq	21647880	3591306	16.59	197.77	5.1	0.02	78.26	21.71
calu6_untreated_rep2_rnaseq	13526459	2358521	17.44	197.7	1.65	0.01	80.86	19.1
fibroblast_egfp_rep1_riboseq	9473752	3851529	40.65	28.67	30.99	1.5	23.73	73.14
fibroblast_egfp_rep2_riboseq	4733821	1867775	39.46	28.96	31.27	2.51	23.38	73.24
fibroblast_g418_0	12906886	7359209	57.02	29.5	27.39	0.81	13.4	85.22
fibroblast_g418_0	11882913	8084257	68.03	29.88	17.27	0.42	12.87	85.72
fibroblast_g418_0	10047526	6035679	60.07	29.34	22.66	0.81	14.84	83.54
fibroblast_g418_0	14067974	9564595	67.99	29.93	17.55	0.4	12.76	85.94
fibroblast_suptrna_tyr_rep1_riboseq	8814125	2816467	31.95	28.42	41.69	1.79	21.35	75.43
fibroblast_suptrna_tyr_rep2_riboseq	5611667	2365968	42.16	29.46	30.7	1.44	22.93	74.3
fibroblast_untreated_rep1_riboseq	9958578	4886259	49.07	29.3	26.41	0.74	21.78	76.22
fibroblast_untreated_rep2_riboseq	9522917	5880363	61.75	29.58	17.57	0.57	18.7	79.89
gse144140_dmso_rep1_riboseq	30941757	16448711	53.16	28.35	34.64	1.73	9.61	89.53
gse144140_dmso_rep2_riboseq	26558135	14911746	56.15	28.46	35.04	1.81	6.17	93.0
gse144140_dmso_rep3_riboseq	29038059	16570790	57.07	27.96	34.26	2.1	5.54	93.43
gse144140_g418_rep1_riboseq	24283534	13625950	56.11	28.04	34.69	1.85	6.36	92.65
gse144140_g418_rep2_riboseq	31989287	17798182	55.64	27.87	33.08	1.9	8.33	90.62
gse144140_g418_rep3_riboseq	21494333	11953471	55.61	28.3	33.86	1.6	8.05	91.07
gse144140_sri37240_rep1_riboseq	23641801	12529245	53.0	28.6	33.5	1.58	11.15	88.08
gse144140_sri37240_rep2_riboseq	22322319	11465616	51.36	26.66	30.07	3.5	13.51	84.93
gse144140_sri37240_rep3_riboseq	25801114	14053829	54.47	28.19	33.3	2.12	9.51	89.89
hek293t_g418_rep1_riboseq	11994938	7941469	66.21	30.12	30.12	0.8	2.63	97.13
hek293t_g418_rep2_riboseq	10264349	6939729	67.61	29.84	26.22	0.98	3.17	94.81
hek293t_g418_rep3_riboseq	7926930	4492667	56.68	28.47	33.26	2.03	7.15	91.97
hek293t_untreated_rep1_riboseq	13940582	8417944	60.38	30.16	29.82	0.73	8.81	90.93
hek293t_untreated_rep2_riboseq	8296035	5516757	66.5	29.02	25.96	1.06	3.13	93.52
hek293t_untreated_rep3_riboseq	5524624	2944937	53.31	29.15	36.17	1.45	8.29	90.93
