Sample	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	cutadapt-percent_trimmed	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR10251299							67.96632815382507	27.257998136601174	58.0	100.0	100	18.181818181818183	37.117745
SRR10251301							68.2172552842193	23.016943268008916	58.0	100.0	100	18.181818181818183	29.718107999999997
SRR10251303							38.527520540956736	84.96653935782527	56.0	51.0	51	45.45454545454545	23.174951999999998
SRR10251305							37.360022655700504	83.09606618631462	57.0	51.0	51	45.45454545454545	25.556655
SRR10251306							46.467360583138195	17.729254442611335	64.0	50.0	50	9.090909090909092	30.664977999999998
SRR10251307							44.713731621013984	22.238084194274464	65.0	50.0	50	9.090909090909092	32.343188
SRR10251308							37.03595835285775	78.31869943453758	56.0	50.0	50	36.36363636363637	25.365678
SRR10251309							36.106803629529736	76.21842053878999	56.0	50.0	50	45.45454545454545	37.498632
SRR10251310							1.5442874861080484						
SRR10251310_1								88.31786538202508	46.0	100.0	100	27.27272727272727	21.750004
SRR10251310_2								87.1525553208967	46.0	100.0	100	27.27272727272727	21.750004
SRR10251311							1.9910332569957687						
SRR10251311_1								82.76437835641173	47.0	100.0	100	27.27272727272727	13.637672
SRR10251311_2								82.25090026735532	46.0	100.0	100	27.27272727272727	13.637672
SRR10251312							2.3375888096538366						
SRR10251312_1								72.92282480560652	51.0	100.0	100	27.27272727272727	16.298763
SRR10251312_2								73.3601941778948	51.0	100.0	100	18.181818181818183	16.298763
SRR10251313							2.1291472116882084						
SRR10251313_1								70.72733545679831	51.0	100.0	100	27.27272727272727	13.763615
SRR10251313_2								70.26508393812364	51.0	100.0	100	18.181818181818183	13.763615
SRR10957150							73.392704463568	52.156812471552115	57.0	101.0	101	30.0	131.287878
SRR10957151							74.40859928579442	46.39907180942343	58.0	101.0	101	20.0	108.51799299999999
SRR10957152							73.73431726604402	45.61007886000093	58.0	101.0	101	30.0	106.540199
SRR10957153							75.00514284358985	44.67841665683634	56.0	101.0	101	30.0	102.735378
SRR10957154							75.16524940055865	49.87470297556129	57.0	101.0	101	30.0	121.538872
SRR10957155							75.45653150353115	47.322565237396994	58.0	101.0	101	20.0	98.95602
SRR10957156							74.32815585198028	50.211503054919234	58.0	101.0	101	30.0	107.59856699999999
SRR10957157							73.79766264378497	56.359815638364864	56.0	101.0	101	40.0	97.483674
SRR10957158							74.41627604826037	52.60556134276076	57.0	101.0	101	30.0	95.821336
SRR15014897							62.586720716200915	85.26488864526902	53.0	80.0	80	50.0	42.200672
SRR15014898							61.31744902298168	84.95694044786123	54.0	80.0	80	50.0	39.951042
SRR15014899							64.72022947193237	84.93309572427441	53.0	80.0	80	50.0	46.974720999999995
SRR15014900							61.82267839600011	83.06790193443038	53.0	80.0	80	50.0	38.457882999999995
SRR15014901							65.94435632973462	80.26913747964028	54.0	80.0	80	50.0	33.32304
SRR15014902							61.777995209380144	80.73920197880564	54.0	80.0	80	50.0	38.130765
SRR15014903							66.14127521115269	91.0130917790283	54.0	80.0	80	50.0	43.703326999999994
SRR15014904							64.48949038684222	91.15664813049742	55.0	80.0	80	50.0	32.825114
SRR15014905							67.17815743986479	90.57957686372279	54.0	80.0	80	50.0	45.688962
SRR15014906							63.57910165779545	89.94654895715111	55.0	80.0	80	50.0	34.124958
calu6_g418_rep1_riboseq	17.437164	15.871493	91.02	10.344297	59.32	5.527196							
calu6_g418_rep1_riboseq_1								78.71168553718007	62.0	31.972047157975556	31	36.36363636363637	37.468784
calu6_g418_rep1_rnaseq	16.200848999999998	10.957925999999999	67.64	8.816671999999999	54.42	2.141254							
calu6_g418_rep1_rnaseq_1								72.83169775166029	51.0	98.73162218226959	100	27.27272727272727	16.200848999999998
calu6_g418_rep1_rnaseq_2								73.42144679511927	51.0	98.65164884260078	100	18.181818181818183	16.200848999999998
calu6_g418_rep2_rnaseq	13.711018	9.353299999999999	68.22	6.900322	50.33	2.452978							
calu6_g418_rep2_rnaseq_1								70.68577124949013	51.0	98.72113616946605	100	27.27272727272727	13.711018
calu6_g418_rep2_rnaseq_2								70.34029224926664	51.0	98.65140743014122	100	18.181818181818183	13.711018
calu6_untreated_rep1_riboseq	10.532577	7.908353999999999	75.08	5.164432	49.03	2.743922							
calu6_untreated_rep1_riboseq_1								80.36240684645124	62.0	31.508160780700166	31	36.36363636363637	25.344634
calu6_untreated_rep1_rnaseq	21.64788	4.694268	21.689999999999998	3.591306	16.59	1.102962							
calu6_untreated_rep1_rnaseq_1								88.30629476706008	46.0	99.43503899689023	100	27.27272727272727	21.64788
calu6_untreated_rep1_rnaseq_2								87.40646397480626	46.0	99.32066946047372	100	27.27272727272727	21.64788
calu6_untreated_rep2_rnaseq	13.526459	2.5814	19.09	2.358521	17.44	0.222879							
calu6_untreated_rep2_rnaseq_1								82.68146608667887	47.0	99.32665152794239	100	27.27272727272727	13.526459
calu6_untreated_rep2_rnaseq_2								82.49556507585672	46.0	99.21059395515115	100	27.27272727272727	13.526459
fibroblast_egfp_rep1_riboseq	9.473752	6.787773	71.64	3.8515289999999998	40.65	2.936244							
fibroblast_egfp_rep1_riboseq_1								92.28219458903715	59.0	29.494828775332053	28	40.0	40.142522
fibroblast_egfp_rep2_riboseq	4.733821	3.3481509999999997	70.73	1.867775	39.46	1.480376							
fibroblast_egfp_rep2_riboseq_1								92.78889820536419	61.0	29.761003757205028	28	40.0	31.342181
fibroblast_g418_0.1_rep1_riboseq	12.906886	10.894131999999999	84.41	7.359209	57.02	3.534923							
fibroblast_g418_0.1_rep1_riboseq_1								86.05557475703648	59.0	30.077434662512474	28	50.0	44.096163
fibroblast_g418_0.1_rep2_riboseq	11.882913	10.136892	85.3	8.084257	68.03	2.052635							
fibroblast_g418_0.1_rep2_riboseq_1								84.43959990254326	60.0	31.076172152803007	30	50.0	37.817659
fibroblast_g418_0.5_rep1_riboseq	10.047526	8.312349	82.73	6.035679	60.07	2.2766699999999997							
fibroblast_g418_0.5_rep1_riboseq_1								80.93568423268707	60.0	29.97127666052807	28	50.0	30.297365
fibroblast_g418_0.5_rep2_riboseq	14.067974	12.033890999999999	85.53999999999999	9.564594999999999	67.99	2.469296							
fibroblast_g418_0.5_rep2_riboseq_1								82.09972863285928	59.0	31.106000540425896	30	50.0	37.507455
fibroblast_suptrna_tyr_rep1_riboseq	8.814124999999999	6.491352999999999	73.64	2.816467	31.95	3.674886							
fibroblast_suptrna_tyr_rep1_riboseq_1								92.07430420925328	60.0	28.900206284075733	26	50.0	41.509747999999995
fibroblast_suptrna_tyr_rep2_riboseq	5.611667	4.088636999999999	72.86	2.365968	42.16	1.722669							
fibroblast_suptrna_tyr_rep2_riboseq_1								91.48608756903695	61.0	30.285322956315373	28	50.0	32.835509
fibroblast_untreated_rep1_riboseq	9.958578	7.5163459999999995	75.48	4.886259	49.07	2.630087							
fibroblast_untreated_rep1_riboseq_1								86.64317041335391	59.0	31.189180728852524	28	50.0	40.508579
fibroblast_untreated_rep2_riboseq	9.522917	7.553532	79.32	5.880363	61.75	1.673169							
fibroblast_untreated_rep2_riboseq_1								86.2807497149931	60.0	31.50253153727322	30	50.0	39.27337
gse144140_dmso_rep1_riboseq	30.941757	27.168205999999998	87.8	16.448711	53.16	10.719495							
gse144140_dmso_rep1_riboseq_1								91.5114581871342	68.0	29.64795111949692	28	50.0	118.943784
gse144140_dmso_rep2_riboseq	26.558135	24.216806	91.19	14.911745999999999	56.15	9.30506							
gse144140_dmso_rep2_riboseq_1								89.98453601995746	68.0	28.827483978737952	28	50.0	97.255915
gse144140_dmso_rep3_riboseq	29.038058999999997	26.519992	91.33	16.57079	57.07	9.949202							
gse144140_dmso_rep3_riboseq_1								88.87170457649876	67.0	28.586270797110554	28	50.0	98.80465099999999
gse144140_g418_rep1_riboseq	24.283534	22.049826	90.8	13.62595	56.11	8.423876							
gse144140_g418_rep1_riboseq_1								89.37770328162448	68.0	28.58726789984323	26	50.0	90.671255
gse144140_g418_rep2_riboseq	31.989286999999997	28.381747999999998	88.72	17.798182	55.64	10.583566							
gse144140_g418_rep2_riboseq_1								89.50565725567128	66.0	28.936978123869906	26	50.0	105.26779599999999
gse144140_g418_rep3_riboseq	21.494332999999997	19.231772	89.47	11.953470999999999	55.61	7.278301							
gse144140_g418_rep3_riboseq_1								90.37415210890747	68.0	28.979114640183166	28	50.0	84.607951
gse144140_sri37240_rep1_riboseq	23.641800999999997	20.450205999999998	86.5	12.529245	53.0	7.920960999999999							
