sample	reads_raw	reads_cleaned	reads_retained	reads_with_adapter	adapter_rate	basepairs_raw	basepairs_cleaned
calu6_g418_rep1_riboseq	37498632	37468784	0.9992	37086502	0.98901	1874931600	1197953729
calu6_g418_rep1_rnaseq	16298763	16200849	0.99399	1659062	0.10179	3259752600	3183552988
calu6_g418_rep2_rnaseq	13763615	13711018	0.99618	1357213	0.09861	2752723000	2694113475
calu6_untreated_rep1_riboseq	25365678	25344634	0.99917	25078977	0.9887	1268283900	798562803
calu6_untreated_rep1_rnaseq	21750004	21647880	0.9953	1355272	0.06231	4350000800	4282824282
calu6_untreated_rep2_rnaseq	13637672	13526459	0.99185	995354	0.07299	2727534400	2673228283
fibroblast_egfp_rep1_riboseq	43703327	40142522	0.91852	42840815	0.98026	3496266160	1183791137
fibroblast_egfp_rep2_riboseq	32825114	31342181	0.95482	32280530	0.98341	2626009120	932509221
fibroblast_g418_0.1_rep1_riboseq	46974721	44096163	0.93872	45606947	0.97088	3757977680	1325805902
fibroblast_g418_0.1_rep2_riboseq	38457883	37817659	0.98335	37481156	0.9746	3076630640	1174575174
fibroblast_g418_0.5_rep1_riboseq	33323040	30297365	0.9092	32085797	0.96287	2665843200	907870061
fibroblast_g418_0.5_rep2_riboseq	38130765	37507455	0.98365	36917424	0.96818	3050461200	1165947426
fibroblast_suptrna_tyr_rep1_riboseq	45688962	41509748	0.90853	44567125	0.97545	3655116960	1199676734
fibroblast_suptrna_tyr_rep2_riboseq	34124958	32835509	0.96221	33373903	0.97799	2729996640	994289301
fibroblast_untreated_rep1_riboseq	42200672	40508579	0.9599	40604797	0.96218	3376053760	1263092422
fibroblast_untreated_rep2_riboseq	39951042	39273370	0.98304	38627975	0.96688	3196083360	1236326575
gse144140_dmso_rep1_riboseq	131287878	118943784	0.90598	128867786	0.98157	13260075678	3528147524
gse144140_dmso_rep2_riboseq	108517993	97255915	0.89622	107341599	0.98916	10960317293	2804898718
gse144140_dmso_rep3_riboseq	106540199	98804651	0.92739	105527443	0.99049	10760560099	2826334576
gse144140_g418_rep1_riboseq	102735378	90671255	0.88257	101597234	0.98892	10376273178	2593534659
gse144140_g418_rep2_riboseq	121538872	105267796	0.86612	119418394	0.98255	12275426072	3048571450
gse144140_g418_rep3_riboseq	98956020	84607951	0.85501	97591202	0.98621	9994558020	2453011199
gse144140_sri37240_rep1_riboseq	107598567	93487608	0.86886	105377992	0.97936	10867455267	2789876179
gse144140_sri37240_rep2_riboseq	97483674	89180942	0.91483	95003698	0.97456	9845851074	2579843114
gse144140_sri37240_rep3_riboseq	95821336	84945409	0.8865	93726674	0.97814	9677954936	2475981275
hek293t_g418_rep1_riboseq	29718108	29506208	0.99287	29597760	0.99595	2971810800	944523040
hek293t_g418_rep2_riboseq	25556655	25278456	0.98911	25051400	0.98023	1303389405	816442828
hek293t_g418_rep3_riboseq	32343188	30196322	0.93362	28844479	0.89183	1617159400	894067086
hek293t_untreated_rep1_riboseq	37117745	36842826	0.99259	36885278	0.99374	3711774500	1189017663
hek293t_untreated_rep2_riboseq	23174952	22941428	0.98992	22778811	0.98291	1181922552	726557098
hek293t_untreated_rep3_riboseq	30664978	27348985	0.89186	27172729	0.88612	1533248900	820788605
