gene_id	gene_symbol	mean_tpm	calu6_untreated_rep1_rnaseq	calu6_untreated_rep2_rnaseq	calu6_g418_rep1_rnaseq	calu6_g418_rep2_rnaseq
ENSG00000210082.2	MT-RNR2	125650.76220081348	434349.8300443547	23556.749776688135	11878.716012413459	32817.75296979765
ENSG00000276168.1	RN7SL1	43629.15501715866	2510.5490316117953	10197.117685843798	57135.17357523811	104673.77977594091
ENSG00000198886.2	MT-ND4	13305.873150244319	6286.300686061567	5361.793062555075	15763.899199119282	25811.49965324135
ENSG00000198938.2	MT-CO3	8998.61107658473	5596.845529704414	4044.1830386439697	9779.462176927838	16573.953561062703
ENSG00000198712.1	MT-CO2	8936.531771377511	7173.369767388286	5955.835322407734	7698.822857767882	14918.099137946141
ENSG00000211459.2	MT-RNR1	8758.522623159728	22817.22991822439	5421.704250269411	2305.479155212794	4489.677168932311
ENSG00000198804.2	MT-CO1	8035.204400653834	4678.694208353635	3788.367758119125	9650.631390713199	14023.124245429377
ENSG00000198899.2	MT-ATP6	7524.397367085112	3810.019734429437	3941.019449895102	6829.339154588518	15517.21112942739
ENSG00000142541.20	RPL13A	6705.76287896375	5774.1522403484905	14755.335176728342	3588.578161018338	2704.9859377598323
ENSG00000034510.8	TMSB10	6629.533379643313	3439.9662666665445	9004.843856160234	7879.565017609523	6193.758378136951
ENSG00000198888.2	MT-ND1	5675.868406935133	5149.147127961596	4261.2880340239435	4885.431247374162	8407.60721838083
ENSG00000080824.21	HSP90AA1	5332.591333894468	472.22297339772825	461.07263421235274	10527.306091140892	9869.763636826898
ENSG00000198786.2	MT-ND5	5287.912961079777	4929.277699555222	3992.7278500728216	4541.207866110374	7688.43842858069
ENSG00000198727.2	MT-CYB	4992.165334694732	5709.51632899394	4754.878599218213	3365.468976256683	6138.797434310093
ENSG00000075624.19	ACTB	4848.183484026611	1922.5019692739104	3392.323103236297	7747.0057896321105	6330.903073964126
ENSG00000212907.2	MT-ND4L	4542.506169180979	3999.933359424121	4572.156409121089	3326.6351390577834	6271.29976912092
ENSG00000210191.1	MT-TL2	4350.663189625328	8844.92306238855	7758.571552070879	439.9447197116058	359.21342433027957
ENSG00000140988.18	RPS2	3783.4815084151105	3479.9079226703457	7226.476273996785	2429.1927079650395	1998.349129028272
ENSG00000198763.3	MT-ND2	3688.99518869211	3206.600447446208	2790.806983545202	2970.3336039312026	5788.239719845827
ENSG00000198695.2	MT-ND6	3483.3706949036255	4050.726163988237	2891.550022296714	2012.5603666608429	4978.646226668709
