gene_id	gene_symbol	mean_tpm	calu6_untreated_rep1_rnaseq	calu6_untreated_rep2_rnaseq	calu6_g418_rep1_rnaseq	calu6_g418_rep2_rnaseq
ENSG00000142541.20	RPL13A	6705.76287896375	5774.1522403484905	14755.335176728342	3588.578161018338	2704.9859377598323
ENSG00000034510.8	TMSB10	6629.533379643313	3439.9662666665445	9004.843856160234	7879.565017609523	6193.758378136951
ENSG00000080824.21	HSP90AA1	5332.591333894468	472.22297339772825	461.07263421235274	10527.306091140892	9869.763636826898
ENSG00000075624.19	ACTB	4848.183484026611	1922.5019692739104	3392.323103236297	7747.0057896321105	6330.903073964126
ENSG00000140988.18	RPS2	3783.4815084151105	3479.9079226703457	7226.476273996785	2429.1927079650395	1998.349129028272
ENSG00000142534.9	RPS11	3288.0604551123815	2096.386250487886	5008.606134815983	3408.7823555332952	2638.46707961236
ENSG00000087086.18	FTL	3252.1076736586806	2909.208257310293	7306.401649873681	1505.7895002774164	1287.0312871733317
ENSG00000089157.18	RPLP0	3172.6734107545267	2823.018815615387	7701.978938004416	1227.3443229010315	938.3515664972731
ENSG00000184357.5	H1-5	3105.366080029262	152.23502120769342	442.0241882471591	6789.599107198374	5037.606003463821
ENSG00000111640.17	GAPDH	3065.6220294833715	1302.9309177047526	2394.474132820454	4800.313201801703	3764.7698656065763
ENSG00000168298.7	H1-4	3040.237952882826	233.79534248222305	573.7940649491856	6268.440572289981	5084.921831809916
ENSG00000143947.17	RPS27A	2959.343591656836	2543.403755731837	6438.965928193853	1565.0523955299025	1289.95228717175
ENSG00000109971.16	HSPA8	2938.3181084871812	584.6800674427884	1427.0361883630367	5192.650904613181	4548.905273529717
ENSG00000096384.22	HSP90AB1	2860.3063043083484	448.6458936287381	741.4594846590235	5401.439227584161	4849.680611361472
ENSG00000177954.16	RPS27	2551.7925377177094	1993.5973590760348	5288.479000002986	1635.979701799357	1289.1140899924587
ENSG00000147604.16	RPL7	2343.253282977425	1311.3685370463882	3590.7810042696196	2458.9479149067174	2011.9156756869743
ENSG00000156508.22	EEF1A1	2303.4277803110044	2126.7320946923264	5291.857173872686	985.9683978895234	809.1534547894818
ENSG00000231500.9	RPS18	2284.810884192888	727.0949477950908	2179.8556942691275	3523.6099374425917	2708.682957264743
ENSG00000174444.17	RPL4	2204.0878502882238	1164.110398940365	2844.987871999285	2627.123376685245	2180.129753528
ENSG00000148303.19	RPL7A	2173.5982436529025	1062.504375233818	2475.2502884819783	2883.123360129917	2273.5149507658966
